"Kernel Name","glibc_exp_mod_myexp_",
"Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","# Samples","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Divergent Branches","Address Space","Access Operation","Access Size","L1 Tag Requests Global","L1 Conflicts Shared N-Way","L1 Wavefronts Shared Excessive","L1 Wavefronts Shared","L1 Wavefronts Shared Ideal","L2 Theoretical Sectors Global Excessive","L2 Theoretical Sectors Global","L2 Theoretical Sectors Global Ideal","L2 Theoretical Sectors Local","L2 Explicit Evict Policies","L2 Explicit Hit Policy Evict First","L2 Explicit Hit Policy Evict Last","L2 Explicit Hit Policy Evict Normal","L2 Explicit Hit Policy Evict Normal Demote","L2 Explicit Miss Policy Evict First","L2 Explicit Miss Policy Evict Normal","stall_barrier","stall_branch_resolving","stall_dispatch","stall_drain","stall_imc","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_branch_resolving (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_imc (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)"
"0x7c758728ef80","      ULDC.64 UR4, c[0x0][0x118] ","0","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728ef90","      CS2R R4, SRZ ","0","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728efa0","      STG.E.64 [R12.64], R10 ","0","0","0","0","0","0","0","0","0","","","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728efb0","      ISETP.NE.AND.EX P0, PT, R11, -0x100000, PT, P0 ","0","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728efc0","@!P0  BRA 0x7c758728f540 ","0","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728efd0","      ISETP.NE.AND P0, PT, R3, 0x7ff, PT ","0","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728efe0","@!P0  BRA 0x7c758728f0c0 ","0","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728eff0","      ISETP.GE.AND P0, PT, R11, RZ, PT ","0","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728f000","@!P0  BRA 0x7c758728f540 ","0","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728f010","      UMOV UR4, 0x0 ","0","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728f020","      MOV R8, 0x0 ","0","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728f030","      UMOV UR5, 0x0 ","0","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728f040","      IMAD.U32 R6, RZ, RZ, UR4 ","0","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728f050","      MOV R4, 0x0 ","0","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728f060","      IMAD.U32 R7, RZ, RZ, UR5 ","0","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728f070","      ULDC.64 UR4, c[0x0][0x118] ","0","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728f080","      IMAD.MOV.U32 R9, RZ, RZ, 0x7ff00000 ","0","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728f090","      MOV R5, 0x7ff00000 ","0","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728f0a0","      STG.E.64 [R6.64], R8 ","0","0","0","0","0","0","0","0","0","","","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728f0b0","      BRA 0x7c758728f540 ","0","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728f0c0","      DADD R4, R10, 1 ","0","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728f0d0","      BRA 0x7c758728f540 ","0","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728f0e0","      BSYNC B1 ","240","240","240","47754","1516000","1516000","31","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","41","0","0","0","0","0","0","0","0","0","199","0","0","0","0","0","0","0","41","0","0","0","0","0","0","0","0","0","199","0","0","0","0","0","0"
"0x7c758728f0f0","      DMUL R6, R10, c[0x2][0x5b0] ","238","213","238","47754","1516000","1516000","31","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","139","0","0","3","0","0","0","0","0","0","0","0","25","0","0","0","71","0","139","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","71"
"0x7c758728f100","      UMOV UR6, 0x0 ","22","2","22","47754","1516000","1516000","31","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"0x7c758728f110","      ULDC.64 UR4, c[0x0][0x118] ","46","15","46","47754","1516000","1516000","31","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"0x7c758728f120","      DADD R6, R6, 6.75539944105574400000e+15 ","832","817","832","47754","1516000","1516000","31","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","781","0","0","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","781","0","0","36"
"0x7c758728f130","      DADD R4, R6, -6.75539944105574400000e+15 ","946","925","946","47754","1516000","1516000","31","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","833","0","0","92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","833","0","0","92"
"0x7c758728f140","      STG.E.64 [R12.64], R6 ","12","0","12","47754","1516000","1516000","31","31","0","Global","Store","64","47754","0","0","0","0","0","47754","47754","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728f150","      IMAD.SHL.U32 R34, R6, 0x10, RZ ","53","35","53","47754","1516000","1516000","31","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35"
"0x7c758728f160","      DMUL R8, R4, c[0x2][0x5c0] ","848","835","848","47754","1516000","1516000","31","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","811","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","811","0","0","24"
"0x7c758728f170","      LOP3.LUT R34, R34, 0x7f0, RZ, 0xc0, !PT ","58","33","58","47754","1516000","1516000","31","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33"
"0x7c758728f180","      DMUL R4, R4, c[0x2][0x5b8] ","11","0","11","47754","1516000","1516000","31","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728f190","      IADD3 R34, P0, R34, UR6, RZ ","61","40","61","47754","1516000","1516000","31","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40"
"0x7c758728f1a0","      DADD R8, R10, R8 ","827","802","827","47754","1516000","1516000","31","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","802","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","802","0","0","0"
"0x7c758728f1b0","      UMOV UR6, 0x0 ","19","0","19","47754","1516000","1516000","31","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7c758728f1c0","      IMAD.X R35, RZ, RZ, UR6, P0 ","56","42","56","47754","1516000","1516000","31","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42"
"0x7c758728f1d0","      DADD R4, R4, R8 ","1103","1086","1103","47754","1516000","1516000","31","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","1068","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1068","0","0","18"
"0x7c758728f1e0","      DMUL R10, R4, c[0x2][0x5c8] ","967","947","967","47754","1516000","1516000","31","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","867","0","0","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","867","0","0","80"
"0x7c758728f1f0","      DMUL R8, R4, R4 ","85","70","85","47754","1516000","1516000","31","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70"
"0x7c758728f200","      DADD R10, R10, c[0x2][0x5d0] ","918","901","918","47754","1516000","1516000","31","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","840","0","0","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","840","0","0","61"
"0x7c758728f210","      DMUL R14, R8, R8 ","383","366","383","47754","1516000","1516000","31","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","305","0","0","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","305","0","0","61"
"0x7c758728f220","      DMUL R14, R10, R14 ","1157","1140","1157","47754","1516000","1516000","31","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","1048","0","0","92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1048","0","0","92"
"0x7c758728f230","      DMUL R10, R4, c[0x2][0x5d8] ","78","62","78","47754","1516000","1516000","31","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62"
"0x7c758728f240","      DADD R10, R10, c[0x2][0x5e0] ","1305","1281","1305","47754","1516000","1516000","31","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","1208","0","0","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1208","0","0","73"
"0x7c758728f250","      DMUL R32, R8, R10 ","950","921","950","47754","1516000","1516000","31","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","842","0","0","79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","842","0","0","79"
